sample_id,regions
c1a955aa-1d6d-5cd8-abcc-1013f2fe94bd,"[[1398.0, 1899.0]]"
20df95dd-ea72-557b-bb97-f44147a259b4,"[[1188.0, 1476.0], [2547.0, 3294.0]]"
2088ec71-ca52-5270-a218-c11de432f4f8,"[[3490.0, 4856.0]]"
d737c903-c0df-56c2-962e-d8b61f09e1dd,"[[3383.0, 3833.0], [4036.0, 4967.0]]"
67d64bd2-59bd-5843-ac34-e235ef703c8f,"[[2686.0, 3324.0], [4745.0, 5309.0]]"
de38fa3a-ec6c-5a0e-8123-6cd786e3d965,"[[2678.0, 5745.0], [6049.0, 6805.0]]"
151d0eb0-bedd-5f16-a96a-cf0edc8fea2e,"[[3167.0, 5208.0]]"
38e3f165-0584-5518-a4ab-559330be0c9a,"[[3319.0, 4452.0]]"
87c75e3f-cb84-5836-96a5-3e21cda12903,"[[4673.0, 4768.0], [4920.0, 6137.0]]"
8783bc4d-e441-5a3a-be60-14f67bdf75e8,"[[1715.0, 2331.0], [3233.0, 4618.0]]"
c4dd588f-c247-55ae-9ad6-aa316cdc704e,"[[1102.0, 1419.0], [3376.0, 3534.0], [3610.0, 4332.0], [4610.0, 5490.0]]"
f753f32f-b302-53b4-9240-00e02788679f,"[[1012.0, 2156.0], [2251.0, 2854.0]]"
66d47c6d-d7ba-5d6f-aead-0373af078d17,"[[4540.0, 6186.0]]"
9576a12c-6581-51b5-aa12-e111d7220d50,"[[2894.0, 3602.0], [4398.0, 5080.0]]"
1c6109dc-9047-5cd9-b0c7-83b926143028,"[[1932.0, 2135.0], [3597.0, 6126.0]]"
1cbcd941-5471-5a65-93b7-900bb0f64811,[]
20761c47-974e-5b18-a38a-6230e9b47381,[]
03bf85af-1e99-5ed6-9834-bd78dcc9ac27,"[[2912.0, 3290.0], [4677.0, 6368.0]]"
490624bb-5e0c-5d89-94be-a7135b4d6f5e,[]
fa9a3f8b-8e0a-5f5a-92a8-18235c078b2c,[]
14295f67-6ae9-5c8c-bd78-0c61c005f1fa,[]
af69da65-9429-5600-8c20-2f62f5f5f2ae,[]
a1eda601-dafa-58d4-a2de-024569048562,[]
41a8361c-dc68-5b3d-9513-6d2afdaa7ded,[]
70eb9656-bbed-59b7-aafe-408d818a4562,[]
cd4932c4-627a-55fe-b913-f1ce17b36bda,[]
06174183-bb3c-5702-b01a-73cd65ed9d4a,[]
43072a22-443c-5be2-8428-8a5087320849,[]
f339516d-69db-5a6c-ae1d-dc741fe363c2,[]
c2e3cc96-3e59-594b-bd3d-4aeebb1d08f6,[]
e3064f69-757b-5506-a2a3-40b3e39a152c,[]
1d6d9518-214d-5951-8579-2c2af9d88324,[]
14a88dc1-1e55-5932-ba72-bd1d4971fd8a,[]
94139dca-64a3-5c1e-8409-cac060300dfe,[]
3bd76768-bc03-53b9-94ab-da2ced39aae8,[]
efb7b33e-3447-52ee-b461-a1fccccecd91,[]
0b92afd2-8400-5d97-affb-e0056c44cd4c,[]
a127b623-1644-5a62-b321-972319bc7d43,[]
44f0ace1-c1df-5aae-b423-b235fa4dbb06,[]
931dfbbd-dcec-5e68-9475-4d5ad1aa9685,[]
5642acb8-611d-5654-a667-0dfce7558b0c,[]
78111eb0-d59e-546d-ad62-599551843702,[]
